Estacao;Data;Hora;Temp Comp Media;
83587;05/06/2019;0000;16.02;
83587;06/06/2019;0000;16.88;
83587;07/06/2019;0000;17.52;
83587;08/06/2019;0000;18.28;
83587;09/06/2019;0000;17.8;
83587;10/06/2019;0000;18.38;
83587;11/06/2019;0000;19.56;
83587;12/06/2019;0000;20.34;
83587;13/06/2019;0000;20.64;
83587;14/06/2019;0000;20.64;
83587;15/06/2019;0000;20.36;
83587;16/06/2019;0000;20.24;
83587;17/06/2019;0000;19.4;
83587;18/06/2019;0000;20.08;
83587;19/06/2019;0000;20.74;
83587;20/06/2019;0000;20.4;
83587;21/06/2019;0000;18.8;
83587;22/06/2019;0000;18.66;
83587;23/06/2019;0000;19.04;
83587;24/06/2019;0000;20.76;
83587;25/06/2019;0000;21.3;
83587;26/06/2019;0000;22.78;
83587;27/06/2019;0000;22.4;
83587;28/06/2019;0000;20.94;
83587;29/06/2019;0000;19.38;
83587;30/06/2019;0000;20.62;
83587;01/07/2019;0000;20.22;
83587;02/07/2019;0000;20.7;
83587;03/07/2019;0000;21.66;
83587;04/07/2019;0000;22.26;
83587;05/07/2019;0000;22.4;
83587;06/07/2019;0000;17.8;
83587;07/07/2019;0000;15.34;
83587;08/07/2019;0000;15.64;
83587;09/07/2019;0000;16.26;
83587;10/07/2019;0000;16.82;
83587;11/07/2019;0000;17.78;
83587;12/07/2019;0000;18.9;
83587;13/07/2019;0000;20.42;
83587;14/07/2019;0000;20.98;
83587;15/07/2019;0000;21.9;
83587;16/07/2019;0000;21.58;
83587;17/07/2019;0000;17.34;
83587;18/07/2019;0000;16.22;
83587;19/07/2019;0000;16.7;
83587;20/07/2019;0000;16.32;
83587;21/07/2019;0000;17.78;
83587;22/07/2019;0000;18.3;
83587;23/07/2019;0000;19.16;
83587;24/07/2019;0000;20.76;
83587;25/07/2019;0000;19.84;
83587;26/07/2019;0000;19.74;
83587;27/07/2019;0000;19.52;
83587;28/07/2019;0000;20.38;
83587;29/07/2019;0000;20.26;
83587;30/07/2019;0000;20.02;
83587;31/07/2019;0000;22.08;
83587;01/08/2019;0000;21.54;
83587;02/08/2019;0000;23.5;
83587;03/08/2019;0000;22.42;
83587;04/08/2019;0000;18.16;
83587;05/08/2019;0000;17.52;
83587;06/08/2019;0000;18.3;
83587;07/08/2019;0000;20.46;
83587;08/08/2019;0000;21.88;
83587;09/08/2019;0000;22.22;
83587;10/08/2019;0000;22.56;
83587;11/08/2019;0000;22.96;
83587;12/08/2019;0000;22.14;
83587;13/08/2019;0000;23.32;
83587;14/08/2019;0000;19.7;
83587;15/08/2019;0000;17.4;
83587;16/08/2019;0000;17.82;
83587;17/08/2019;0000;17.84;
83587;18/08/2019;0000;20.42;
83587;19/08/2019;0000;23.44;
83587;20/08/2019;0000;23.18;
83587;21/08/2019;0000;22.4;
83587;22/08/2019;0000;20.12;
83587;23/08/2019;0000;19.32;
83587;24/08/2019;0000;19.78;
83587;25/08/2019;0000;19.84;
83587;26/08/2019;0000;20.1;
83587;27/08/2019;0000;20.28;
83587;28/08/2019;0000;19.44;
83587;29/08/2019;0000;18.36;
83587;30/08/2019;0000;21.02;
83587;31/08/2019;0000;23.22;
83587;01/09/2019;0000;25.1;
83587;02/09/2019;0000;24.68;
83587;03/09/2019;0000;26.16;
83587;04/09/2019;0000;26.68;
83587;05/09/2019;0000;23.18;
83587;06/09/2019;0000;20.9;
83587;07/09/2019;0000;21.78;
83587;08/09/2019;0000;21.1;
83587;09/09/2019;0000;21.66;
83587;10/09/2019;0000;25.32;
83587;11/09/2019;0000;26.62;
83587;12/09/2019;0000;27.48;
83587;13/09/2019;0000;28.9;
83587;14/09/2019;0000;24.1;
83587;15/09/2019;0000;22.76;
83587;16/09/2019;0000;23.04;
83587;17/09/2019;0000;25.58;
83587;18/09/2019;0000;26.54;
83587;19/09/2019;0000;27.98;
83587;20/09/2019;0000;27.36;
83587;21/09/2019;0000;27.56;
83587;22/09/2019;0000;24.04;
83587;23/09/2019;0000;18.88;
83587;24/09/2019;0000;20.48;
83587;25/09/2019;0000;17.82;
83587;26/09/2019;0000;16.98;
83587;27/09/2019;0000;20.9;
83587;28/09/2019;0000;21.14;
83587;29/09/2019;0000;21.9;
83587;30/09/2019;0000;23.34;
83587;01/10/2019;0000;23.52;
83587;02/10/2019;0000;23.68;
83587;03/10/2019;0000;23.46;
83587;04/10/2019;0000;22.68;
83587;05/10/2019;0000;23.3;
83587;06/10/2019;0000;23.62;
83587;07/10/2019;0000;24.5;
83587;08/10/2019;0000;24.42;
83587;09/10/2019;0000;24.58;
83587;10/10/2019;0000;22.92;
83587;11/10/2019;0000;23.18;
83587;12/10/2019;0000;25.22;
83587;13/10/2019;0000;25.46;
83587;14/10/2019;0000;25.26;
83587;15/10/2019;0000;26.04;
83587;16/10/2019;0000;24.8;
83587;17/10/2019;0000;25.12;
83587;18/10/2019;0000;27.08;
83587;19/10/2019;0000;25.98;
83587;20/10/2019;0000;25.3;
83587;21/10/2019;0000;23.42;
83587;22/10/2019;0000;24.48;
83587;23/10/2019;0000;23.78;
83587;24/10/2019;0000;23.84;
83587;25/10/2019;0000;25.82;
83587;26/10/2019;0000;23.2;
83587;27/10/2019;0000;24.6;
83587;28/10/2019;0000;24.58;
83587;29/10/2019;0000;23.16;
83587;30/10/2019;0000;23.82;
83587;31/10/2019;0000;24.62;
83587;01/11/2019;0000;23.12;
83587;02/11/2019;0000;22.48;
83587;03/11/2019;0000;25.44;
83587;04/11/2019;0000;28.1;
83587;05/11/2019;0000;27.8;
83587;06/11/2019;0000;27.32;
83587;07/11/2019;0000;25.72;
83587;08/11/2019;0000;25.5;
83587;09/11/2019;0000;25.54;
83587;10/11/2019;0000;27.18;
83587;11/11/2019;0000;26.68;
83587;12/11/2019;0000;22.24;
83587;13/11/2019;0000;23.64;
83587;14/11/2019;0000;22.68;
83587;15/11/2019;0000;21.1;
83587;16/11/2019;0000;22.16;
83587;17/11/2019;0000;22.7;
83587;18/11/2019;0000;20.38;
83587;19/11/2019;0000;22.32;
83587;20/11/2019;0000;21.58;
83587;21/11/2019;0000;22.6;
83587;22/11/2019;0000;22.88;
83587;23/11/2019;0000;22.36;
83587;24/11/2019;0000;21.62;
83587;25/11/2019;0000;20.54;
83587;26/11/2019;0000;22.28;
83587;27/11/2019;0000;23.92;
83587;28/11/2019;0000;23.64;
83587;29/11/2019;0000;22.54;
83587;30/11/2019;0000;22.82;
83587;01/12/2019;0000;24.16;
83587;02/12/2019;0000;23.1;
83587;03/12/2019;0000;21.8;
83587;04/12/2019;0000;22.42;
83587;05/12/2019;0000;23.08;
83587;06/12/2019;0000;22.44;
83587;07/12/2019;0000;21.9;
83587;08/12/2019;0000;20.48;
83587;09/12/2019;0000;22.44;
83587;10/12/2019;0000;21.96;
83587;11/12/2019;0000;22.48;
83587;12/12/2019;0000;22.26;
83587;13/12/2019;0000;24.24;
83587;14/12/2019;0000;24.62;
83587;15/12/2019;0000;24.4;
83587;16/12/2019;0000;24.04;
83587;17/12/2019;0000;25.66;
83587;18/12/2019;0000;26.62;
83587;19/12/2019;0000;24.04;
83587;20/12/2019;0000;25.02;
83587;21/12/2019;0000;24.68;
83587;22/12/2019;0000;26.46;
83587;23/12/2019;0000;22.68;
83587;24/12/2019;0000;21.14;
83587;25/12/2019;0000;24.02;
83587;26/12/2019;0000;25.42;
83587;27/12/2019;0000;24.06;
83587;28/12/2019;0000;24.08;
83587;29/12/2019;0000;23.66;
83587;30/12/2019;0000;23.7;
83587;31/12/2019;0000;24.24;
